env,algo,rnn,n_episodes,n_frames,train_time,mean_return,std_return
pendulum-v0,ppo-first_run,None,1,4000,2.6994,-738.1716,141.2308
pendulum-v0,ppo-first_run,None,2,8000,5.7752,-722.2646,82.0660
